round	position	tag	ms	tflops	timestamp_ns
1	1	after4	0.461238712	2383.823385093487	1789020748853412405
1	2	after4_aa	0.462544322	2377.0946382431216	1789020749551255492
1	3	b0_89	0.474690855	2316.268822528717	1789020750238690356
1	4	b0_1213	0.479310572	2293.944035467676	1789020750962844501
1	5	b0_pair	0.465402871	2362.4942953478258	1789020751681318686
1	6	b0_open	0.470567554	2336.5648957938993	1789020752396839314
1	7	transpose_staged	0.462156266	2379.090599143797	1789020753116847523
1	8	b_contig_common	0.453251064	2425.833528271651	1789020753811779167
1	9	b_contig_ioffset	0.454094082	2421.3300092644677	1789020754506505072
2	1	after4_aa	0.474975824	2314.8791416718504	1789020755196557006
2	2	b0_89	0.475989848	2309.947643622853	1789020755888114292
2	3	b0_1213	0.478359461	2298.505031085818	1789020756604561372
2	4	b0_pair	0.467687517	2350.953548704615	1789020757324274287
2	5	b0_open	0.476349682	2308.202711838905	1789020758020312122
2	6	transpose_staged	0.463389575	2372.758661599152	1789020758721961055
2	7	b_contig_common	0.4585796	2397.646183510998	1789020759420114378
2	8	b_contig_ioffset	0.45435375	2419.9461934142723	1789020760125319503
2	9	after4	0.46466437	2366.249057951226	1789020760826896698
3	1	b0_89	0.476072043	2309.5488255251316	1789020761508992733
3	2	b0_1213	0.479274571	2294.1163464647907	1789020762221733346
3	3	b0_pair	0.464872807	2365.1880927851303	1789020762919271334
3	4	b0_open	0.471335977	2332.75557442966	1789020763614630991
3	5	transpose_staged	0.473528564	2321.9541784093935	1789020764323042532
3	6	b_contig_common	0.455514759	2413.778271838608	1789020765023199213
3	7	b_contig_ioffset	0.45808816	2400.2183941536496	1789020765733664929
3	8	after4	0.465783119	2360.565642946798	1789020766463779388
3	9	after4_aa	0.46369794	2371.180747052704	1789020767166225949
4	1	b0_1213	0.477485299	2302.7130470377056	1789020767860537942
4	2	b0_pair	0.463743091	2370.9498839218286	1789020768567738634
4	3	b0_open	0.47154519	2331.7205881709874	1789020769290491455
4	4	transpose_staged	0.46584931	2360.23023791964	1789020769992953680
4	5	b_contig_common	0.45792976	2401.0486406823616	1789020770722515668
4	6	b_contig_ioffset	0.455784619	2412.349127068722	1789020771404110220
4	7	after4	0.46589753	2359.9859560878117	1789020772126386635
4	8	after4_aa	0.466109544	2358.91249584883	1789020772830946861
4	9	b0_89	0.480626613	2287.662809416673	1789020773543093962
5	1	b0_pair	0.467414171	2352.328397369022	1789020774253185106
5	2	b0_open	0.468185723	2348.451850967698	1789020774963115488
5	3	transpose_staged	0.464284062	2368.1873184266233	1789020775660943632
5	4	b_contig_common	0.453633398	2423.7889728216173	1789020776358346898
5	5	b_contig_ioffset	0.45358789	2424.0321490417214	1789020777048970621
5	6	after4	0.476080626	2309.507187919048	1789020777753282174
5	7	after4_aa	0.466434479	2357.269192734785	1789020778448707699
5	8	b0_89	0.477098972	2304.5776501400637	1789020779130771486
