round	position	tag	ms	tflops	timestamp_ns
1	1	after4	0.464200139	2368.6154643223836	1789021019325380428
1	2	after4_aa	0.469350457	2342.62396334686	1789021020005667145
1	3	b_contig_common	0.452915907	2427.628640952105	1789021020713141518
1	4	b_contig_ioffset	0.45306626	2426.823016518599	1789021021403753704
2	1	after4_aa	0.465646565	2361.2578947640254	1789021022082689832
2	2	b_contig_common	0.457313269	2404.2854260063027	1789021022791620112
2	3	b_contig_ioffset	0.453488737	2424.5621513109377	1789021023480296140
2	4	after4	0.462895572	2375.290873977079	1789021024175154864
3	1	b_contig_common	0.457694829	2402.281079247238	1789021024878584472
3	2	b_contig_ioffset	0.455023646	2416.3834944437153	1789021025573444228
3	3	after4	0.462160945	2379.066512805404	1789021026271395677
3	4	after4_aa	0.466591686	2356.474966799987	1789021026958945724
4	1	b_contig_ioffset	0.461532891	2382.303946732152	1789021027647203644
4	2	after4	0.472691685	2326.0650920398566	1789021028353357794
4	3	after4_aa	0.464638621	2366.3801889942333	1789021029046946050
4	4	b_contig_common	0.459565848	2392.5007320735463	1789021029764639282
5	1	b_contig_ioffset	0.457486302	2403.376063871744	1789021030464922233
5	2	b_contig_common	0.454103053	2421.282174854702	1789021031163241195
5	3	after4_aa	0.467480093	2351.9966822972287	1789021031863366820
5	4	after4	0.466123044	2358.8441762943608	1789021032587534556
6	1	after4	0.473821461	2320.518841538923	1789021033303752572
6	2	b_contig_ioffset	0.462588608	2376.867066678823	1789021034026949741
6	3	b_contig_common	0.456297457	2409.6378599278496	1789021034706386111
6	4	after4_aa	0.465633839	2361.322429094334	1789021035399652283
7	1	after4_aa	0.464680433	2366.167261826581	1789021036088641812
7	2	after4	0.463668734	2371.330105203945	1789021036767680835
7	3	b_contig_ioffset	0.455830753	2412.1049765503644	1789021037471224083
7	4	b_contig_common	0.454425842	2419.562283115052	1789021038170350247
8	1	b_contig_common	0.454989254	2416.5661454852734	1789021038858070089
8	2	after4_aa	0.465762913	2360.668050390693	1789021039545528528
8	3	after4	0.46426633	2368.2777680130284	1789021040238592146
8	4	b_contig_ioffset	0.45550254	2413.84302220576	1789021040929792345
9	1	after4	0.466757357	2355.6385588497537	1789021041642378907
9	2	after4_aa	0.468195379	2348.403416805188	1789021042356851972
9	3	b_contig_common	0.453123927	2426.514165904993	1789021043059325193
9	4	b_contig_ioffset	0.453497171	2424.517060054604	1789021043753155302
10	1	after4_aa	0.463189572	2373.7832072264355	1789021044449553018
10	2	b_contig_common	0.45278722	2428.3185991336063	1789021045150914099
10	3	b_contig_ioffset	0.453257442	2425.799393219891	1789021045863017845
10	4	after4	0.462523758	2377.200324866339	1789021046555324326
11	1	b_contig_common	0.458973616	2395.5878713864895	1789021047267860301
11	2	b_contig_ioffset	0.453505099	2424.474675589039	1789021047952203511
11	3	after4	0.463870317	2370.2996020243304	1789021048650503605
11	4	after4_aa	0.466878086	2355.0294193418194	1789021049344343549
12	1	b_contig_ioffset	0.453403831	2425.0161833678903	1789021050031344280
12	2	after4	0.475179583	2313.8865117780115	1789021050732929698
12	3	after4_aa	0.464746863	2365.82904654485	1789021051435147716
12	4	b_contig_common	0.453074604	2426.778323192001	1789021052144295633
13	1	b_contig_ioffset	0.45397076	2421.9877680580134	1789021052847695065
13	2	b_contig_common	0.453014225	2427.1017709786047	1789021053546288749
