round	position	tag	ms	tflops	timestamp_ns
1	1	b_contig_ioffset	0.457452536	2403.553464563152	1789021172999491548
1	2	b_contig_ioffset_aa	0.453689992	2423.4866255899246	1789021173681771519
1	3	b_contig_common	0.45817551	2399.760798598773	1789021174384695477
2	1	b_contig_ioffset_aa	0.460110426	2389.669013446785	1789021175087815159
2	2	b_contig_common	0.453907996	2422.322667732868	1789021175782346201
2	3	b_contig_ioffset	0.458236307	2399.442407726981	1789021176479468646
3	1	b_contig_common	0.452768326	2428.4199327494475	1789021177192229038
3	2	b_contig_ioffset	0.45651409	2408.494396692115	1789021177885748601
3	3	b_contig_ioffset_aa	0.453414202	2424.960715668099	1789021178580631101
4	1	b_contig_common	0.45220542	2431.44283360425	1789021179309207489
4	2	b_contig_ioffset_aa	0.45450601	2419.135508848387	1789021180000443973
4	3	b_contig_ioffset	0.452667266	2428.9620884051287	1789021180709477368
5	1	b_contig_ioffset	0.458977193	2395.569201574685	1789021181402860966
5	2	b_contig_common	0.452135444	2431.819142619573	1789021182112671628
5	3	b_contig_ioffset_aa	0.452974319	2427.315593085532	1789021182808193729
6	1	b_contig_ioffset_aa	0.4530074	2427.1383376430495	1789021183514495681
6	2	b_contig_ioffset	0.453103632	2426.6228520896075	1789021184231916984
6	3	b_contig_common	0.452508539	2429.8140985489777	1789021184915357919
7	1	b_contig_ioffset	0.453669459	2423.596312168768	1789021185600595783
7	2	b_contig_ioffset_aa	0.453281432	2425.6710073577424	1789021186303022254
7	3	b_contig_common	0.457698286	2402.2629347928123	1789021186981087935
8	1	b_contig_ioffset_aa	0.457163572	2405.072702896809	1789021187668814537
8	2	b_contig_common	0.452617466	2429.229339055157	1789021188379026872
8	3	b_contig_ioffset	0.453265458	2425.756492955614	1789021189059075171
9	1	b_contig_common	0.460371107	2388.3158848541725	1789021189774048808
9	2	b_contig_ioffset	0.454339743	2420.0207987880117	1789021190486340757
9	3	b_contig_ioffset_aa	0.453611791	2423.904425747169	1789021191182442649
10	1	b_contig_common	0.453577906	2424.085505999051	1789021191867843888
10	2	b_contig_ioffset_aa	0.460722536	2386.494130115658	1789021192550955768
10	3	b_contig_ioffset	0.459919274	2390.6622095076623	1789021193241951691
11	1	b_contig_ioffset	0.459018886	2395.351610382323	1789021193951817295
11	2	b_contig_common	0.459671676	2391.949918132437	1789021194641946145
11	3	b_contig_ioffset_aa	0.458383441	2398.672223798765	1789021195348108438
12	1	b_contig_ioffset_aa	0.46288833	2375.3280359779214	1789021196046471445
12	2	b_contig_ioffset	0.454619229	2418.533044003733	1789021196756714907
12	3	b_contig_common	0.455009997	2416.4559790452254	1789021197451066460
13	1	b_contig_ioffset	0.459749073	2391.5472425019984	1789021198145435108
13	2	b_contig_ioffset_aa	0.459023118	2395.3295262483925	1789021198846807296
13	3	b_contig_common	0.45448032	2419.2722531439867	1789021199537876328
14	1	b_contig_ioffset_aa	0.455920666	2411.6292806433125	1789021200237628071
14	2	b_contig_common	0.458510309	2398.0085206241242	1789021200937286575
14	3	b_contig_ioffset	0.454503328	2419.149784038545	1789021201630597505
15	1	b_contig_common	0.455443949	2414.1535532312014	1789021202324972472
15	2	b_contig_ioffset	0.462420762	2377.729803957202	1789021203039813590
15	3	b_contig_ioffset_aa	0.459520996	2392.7342544670146	1789021203771596464
16	1	b_contig_common	0.461922526	2380.2944560794162	1789021204468711417
16	2	b_contig_ioffset_aa	0.461104691	2384.5162481246584	1789021205160135833
16	3	b_contig_ioffset	0.456896424	2406.4789523850595	1789021205849350941
17	1	b_contig_ioffset	0.454823077	2417.4490771847973	1789021206556250120
17	2	b_contig_common	0.454927534	2416.894000915759	1789021207245529474
17	3	b_contig_ioffset_aa	0.455332905	2414.7423032736892	1789021207956288380
18	1	b_contig_ioffset_aa	0.455546618	2413.609462415107	1789021208676671783
18	2	b_contig_ioffset	0.454448253	2419.4429630165178	1789021209376633111
18	3	b_contig_common	0.453281403	2425.6711625471207	1789021210069670800
19	1	b_contig_ioffset	0.454433203	2419.5230905607923	1789021210771794086
19	2	b_contig_ioffset_aa	0.453888029	2422.429228191872	1789021211477021093
19	3	b_contig_common	0.458104968	2400.1303294663244	1789021212173800743
20	1	b_contig_ioffset_aa	0.454324156	2420.1038251111613	1789021212876697160
20	2	b_contig_common	0.459736288	2391.6137500462005	1789021213568948297
20	3	b_contig_ioffset	0.453599006	2423.9727451607337	1789021214304028835
21	1	b_contig_common	0.458094418	2400.185604916059	1789021215006286622
21	2	b_contig_ioffset	0.454230189	2420.6044741249025	1789021215695445676
21	3	b_contig_ioffset_aa	0.454584837	2418.7160201650104	1789021216387914981
22	1	b_contig_common	0.453874677	2422.5004907599196	1789021217082576719
22	2	b_contig_ioffset_aa	0.461622387	2381.842082923071	1789021217799307556
22	3	b_contig_ioffset	0.453845024	2422.6587703559353	1789021218493104475
23	1	b_contig_ioffset	0.454414546	2419.6224294633384	1789021219192109507
23	2	b_contig_common	0.453788221	2422.96202698483	1789021219891212817
23	3	b_contig_ioffset_aa	0.454351127	2419.9601639284588	1789021220597313807
24	1	b_contig_ioffset_aa	0.459605515	2392.294243414377	1789021221283844743
24	2	b_contig_ioffset	0.457996339	2400.6995998629586	1789021221978728765
24	3	b_contig_common	0.453682184	2423.528334487122	1789021222693357053
