round	position	tag	ms	tflops	timestamp_ns
1	1	b_contig_ioffset	0.457718551	2402.1565771670025	1789021525579876559
1	2	b_contig_ioffset_aa	0.458929062	2395.8204411469587	1789021526286509858
1	3	b_contig_common	0.45554027	2413.6430963084777	1789021526976488893
2	1	b_contig_ioffset_aa	0.456185192	2410.230860312537	1789021527662470714
2	2	b_contig_common	0.459756404	2391.509108323372	1789021528341339742
2	3	b_contig_ioffset	0.460554898	2387.362793340654	1789021529033046292
3	1	b_contig_common	0.452780694	2428.3535988749554	1789021529727062090
3	2	b_contig_ioffset	0.461337626	2383.3122767575865	1789021530451713353
3	3	b_contig_ioffset_aa	0.458188236	2399.6941461762017	1789021531161712688
4	1	b_contig_common	0.453931838	2422.1954393425913	1789021531852277163
4	2	b_contig_ioffset_aa	0.457578152	2402.893632421506	1789021532551537759
4	3	b_contig_ioffset	0.454401731	2419.690667454786	1789021533254790721
5	1	b_contig_ioffset	0.455732226	2412.626461434395	1789021533947287407
5	2	b_contig_common	0.458341449	2398.8919836399086	1789021534646798199
5	3	b_contig_ioffset_aa	0.456573397	2408.1815432097987	1789021535361562201
6	1	b_contig_ioffset_aa	0.456778497	2407.100235666304	1789021536065715646
6	2	b_contig_ioffset	0.453676581	2423.5582655653984	1789021536772299361
6	3	b_contig_common	0.454482913	2419.2584502643335	1789021537486366627
7	1	b_contig_ioffset	0.458687246	2397.0834972289595	1789021538197882159
7	2	b_contig_ioffset_aa	0.459937871	2390.5655461365563	1789021538907341123
7	3	b_contig_common	0.45330143	2425.5639956308983	1789021539617455491
8	1	b_contig_ioffset_aa	0.459987909	2390.3054977386373	1789021540324509563
8	2	b_contig_common	0.460497499	2387.660367675526	1789021541046322252
8	3	b_contig_ioffset	0.453945667	2422.121649584993	1789021541742593989
9	1	b_contig_common	0.453506768	2424.4657530138556	1789021542455879911
9	2	b_contig_ioffset	0.459594429	2392.35194858291	1789021543165613737
9	3	b_contig_ioffset_aa	0.453596354	2423.986917178792	1789021543857563803
10	1	b_contig_common	0.458933562	2395.796949310933	1789021544570041430
10	2	b_contig_ioffset_aa	0.453783989	2422.984623584857	1789021545277492278
10	3	b_contig_ioffset	0.453220189	2425.9987848334795	1789021545976597180
11	1	b_contig_ioffset	0.456203848	2410.1322963325815	1789021546672427374
11	2	b_contig_common	0.452487707	2429.9259643223854	1789021547395437040
11	3	b_contig_ioffset_aa	0.453320205	2425.4635369186776	1789021548112226465
12	1	b_contig_ioffset_aa	0.453303427	2425.5533099598647	1789021548845116832
12	2	b_contig_ioffset	0.453451961	2424.7587888940675	1789021549574421294
12	3	b_contig_common	0.453059435	2426.859574784046	1789021550265595274
13	1	b_contig_ioffset	0.453452289	2424.757034970001	1789021550971518246
13	2	b_contig_ioffset_aa	0.455009103	2416.460726887919	1789021551690084469
13	3	b_contig_common	0.452732533	2428.6119234466414	1789021552395391106
14	1	b_contig_ioffset_aa	0.453375369	2425.168421039653	1789021553099727286
14	2	b_contig_common	0.453246564	2425.8576128466802	1789021553791624011
14	3	b_contig_ioffset	0.460878283	2385.6876497172684	1789021554479981090
15	1	b_contig_common	0.45331794	2425.475655730722	1789021555204007925
15	2	b_contig_ioffset	0.453832239	2422.727019567246	1789021555912492905
15	3	b_contig_ioffset_aa	0.454567373	2418.808944688602	1789021556609573507
16	1	b_contig_common	0.453892171	2422.4071222766256	1789021557345578843
16	2	b_contig_ioffset_aa	0.459923863	2390.638356105476	1789021558032998023
16	3	b_contig_ioffset	0.454449117	2419.4383631644287	1789021558738410419
17	1	b_contig_ioffset	0.453786433	2422.9715738901346	1789021559444543788
17	2	b_contig_common	0.453680992	2423.534702057784	1789021560148857884
17	3	b_contig_ioffset_aa	0.462719738	2376.1934870735945	1789021560864695479
18	1	b_contig_ioffset_aa	0.454641521	2418.4144584013916	1789021561559550067
18	2	b_contig_ioffset	0.460125089	2389.5928608578874	1789021562268186535
18	3	b_contig_common	0.454198688	2420.772355414642	1789021562973329026
19	1	b_contig_ioffset	0.462316006	2378.268572808184	1789021563684946982
19	2	b_contig_ioffset_aa	0.462426573	2377.699924645118	1789021564397863900
19	3	b_contig_common	0.459038973	2395.2467926421577	1789021565111945947
20	1	b_contig_ioffset_aa	0.455215037	2415.367548097933	1789021565842543802
20	2	b_contig_common	0.453566164	2424.148261147628	1789021566562075465
20	3	b_contig_ioffset	0.461932302	2380.244081255006	1789021567287006708
21	1	b_contig_common	0.457900196	2401.20366267762	1789021567982358563
21	2	b_contig_ioffset	0.459448308	2393.112802095682	1789021568678005701
21	3	b_contig_ioffset_aa	0.45500493	2416.4828890447407	1789021569370792113
22	1	b_contig_common	0.461602777	2381.943269323096	1789021570053618965
22	2	b_contig_ioffset_aa	0.456237555	2409.954234863458	1789021570780234949
22	3	b_contig_ioffset	0.461402535	2382.9769981129384	1789021571477831736
23	1	b_contig_ioffset	0.459455401	2393.0758575977648	1789021572239134799
23	2	b_contig_common	0.462087721	2379.4435078182914	1789021572953876858
23	3	b_contig_ioffset_aa	0.454341114	2420.013496238423	1789021573651650491
24	1	b_contig_ioffset_aa	0.456028223	2411.0604833683724	1789021574368163229
24	2	b_contig_ioffset	0.459275484	2394.013323332538	1789021575067505478
24	3	b_contig_common	0.453638315	2423.7627012965163	1789021575782167927
