round	position	tag	ms	tflops	timestamp_ns
1	1	selected	0.454549819	2418.902355290565	1789021980155404420
1	2	selected_aa	0.451656938	2434.39552294888	1789021980842505953
1	3	final	0.459819764	2391.1795748214076	1789021981575440186
2	1	selected_aa	0.45719254	2404.920316013905	1789021982265833804
2	2	final	0.452938169	2427.50932252742	1789021982980053649
2	3	selected	0.452609777	2429.270607152616	1789021983674573734
3	1	final	0.459664762	2391.9858963998636	1789021984378024734
3	2	selected	0.457663536	2402.44533655834	1789021985107715266
3	3	selected_aa	0.453449696	2424.77090066458	1789021985811729381
4	1	final	0.452763289	2428.4469489663065	1789021986505165309
4	2	selected_aa	0.453298301	2425.580738666832	1789021987177422916
4	3	selected	0.453125298	2426.5068241146846	1789021987874784940
5	1	selected	0.453134507	2426.4575104980913	1789021988574742663
5	2	final	0.453268468	2425.7403843410525	1789021989297721674
