round	position	tag	ms	tflops	timestamp_ns
1	1	selected	0.452335268	2430.7448601951596	1789023380741062457
1	2	selected_aa	0.453257799	2425.797482584519	1789023381454795010
1	3	final	0.451738954	2433.9535433909027	1789023382142630465
2	1	selected_aa	0.45209685	2432.026738907825	1789023382837658414
2	2	final	0.454200238	2420.7640943067936	1789023383532098409
2	3	selected	0.45669803	2407.5243498992104	1789023384215301817
3	1	final	0.45878914	2396.5511210138934	1789023384911378531
3	2	selected	0.459845245	2391.0470744913323	1789023385616026839
3	3	selected_aa	0.454389334	2419.7566833203878	1789023386301203341
4	1	final	0.452723384	2428.6610027990073	1789023386981206672
4	2	selected_aa	0.452447772	2430.1404401125	1789023387674309239
4	3	selected	0.457335502	2404.1685435914396	1789023388381153746
5	1	selected	0.45356372	2424.1613235203204	1789023389068065414
5	2	final	0.454008073	2421.7887151447194	1789023389769485663
5	3	selected_aa	0.453099817	2426.6432837160028	1789023390499989136
6	1	selected_aa	0.452336907	2430.736052621061	1789023391197629428
6	2	selected	0.454401821	2419.6901882045936	1789023391890073586
6	3	final	0.460477054	2387.766378856307	1789023392597570072
7	1	selected	0.458706975	2396.9803985997814	1789023393293667747
7	2	selected_aa	0.456476897	2408.6906369239537	1789023393976129621
7	3	final	0.453136206	2426.448412678814	1789023394687636511
8	1	selected_aa	0.456063449	2410.874254858341	1789023395401270937
8	2	final	0.458625406	2397.406714481055	1789023396102737716
8	3	selected	0.458847761	2396.2449449023247	1789023396795084097
9	1	final	0.457538009	2403.1044550355596	1789023397490395321
9	2	selected	0.456930161	2406.301272320695	1789023398179095816
9	3	selected_aa	0.458037555	2400.483575579299	1789023398878651174
10	1	final	0.460938811	2385.3743740750006	1789023399595325535
10	2	selected_aa	0.460147262	2389.4777141496934	1789023400269831260
10	3	selected	0.458403081	2398.5694541525127	1789023400964654551
11	1	selected	0.457749456	2401.9943953270367	1789023401686489693
11	2	final	0.457598925	2402.7845515065405	1789023402391877342
11	3	selected_aa	0.460156411	2389.4302056697848	1789023403089832818
12	1	selected_aa	0.461130559	2384.382484128535	1789023403803260132
12	2	selected	0.45685041	2406.7213330858126	1789023404489667562
12	3	final	0.455304831	2414.8911957756054	1789023405180606740
13	1	selected	0.459030867	2395.2890901691803	1789023405910463831
13	2	selected_aa	0.461715043	2381.3640998827063	1789023406589466059
13	3	final	0.460978627	2385.16834268761	1789023407283862469
14	1	selected_aa	0.453503251	2424.4845551856915	1789023407966488420
14	2	final	0.45574677	2412.5494685919552	1789023408714134330
14	3	selected	0.45254603	2429.6128015441877	1789023409427090667
15	1	final	0.45359832	2423.976411059018	1789023410129663127
15	2	selected	0.45331338	2425.500054236211	1789023410842936280
15	3	selected_aa	0.452999771	2427.179213245121	1789023411524028928
16	1	final	0.452934116	2427.5310446608087	1789023412223478908
16	2	selected_aa	0.453093797	2426.67552514739	1789023412928652065
16	3	selected	0.452264607	2431.1246353531265	1789023413618260122
17	1	selected	0.452880561	2427.8181102500444	1789023414320386773
17	2	final	0.452697575	2428.7994645785325	1789023415039493338
17	3	selected_aa	0.452729106	2428.6303071841817	1789023415740722520
18	1	selected_aa	0.458469361	2398.222697756241	1789023416471742799
18	2	selected	0.45805943	2400.3689385370803	1789023417152437098
18	3	final	0.453059763	2426.8578178195003	1789023417847568472
19	1	selected	0.46094051	2385.3655817233334	1789023418542367888
19	2	selected_aa	0.453149825	2426.3754880099536	1789023419246105548
19	3	final	0.456321806	2409.5092834025118	1789023419945927577
20	1	selected_aa	0.456872851	2406.6031180653367	1789023420654840601
20	2	final	0.453806579	2422.8640100345483	1789023421354125664
20	3	selected	0.461266935	2383.6775288824897	1789023422046352845
21	1	final	0.454009295	2421.782196719122	1789023422726700604
21	2	selected	0.462002665	2379.8815701117223	1789023423420506357
21	3	selected_aa	0.453353703	2425.2843210503124	1789023424117210463
22	1	final	0.453757375	2423.1267376667984	1789023424809309512
22	2	selected_aa	0.453773409	2423.041116928912	1789023425499361417
22	3	selected	0.458838284	2396.2944377500985	1789023426195252121
23	1	selected	0.460937679	2385.380232228748	1789023426886686762
23	2	final	0.458790541	2396.5438027110504	1789023427575203812
23	3	selected_aa	0.454780608	2417.6748270146118	1789023428282845386
24	1	selected_aa	0.460150629	2389.4602299370104	1789023428964346166
24	2	selected	0.454010576	2421.775363611794	1789023429657057165
24	3	final	0.45937103	2393.5153851038453	1789023430350004158
