round	position	tag	ms	tflops	timestamp_ns
1	1	base_a	0.4269	2575.75	1789011376047614979
1	2	base_b	0.4684	2347.4	1789011376730640229
1	3	coldburst	0.4271	2574.31	1789011377372698107
2	1	base_b	0.4232	2597.95	1789011378220741924
2	2	coldburst	0.4224	2603.04	1789011378842490848
2	3	base_a	0.4227	2601.0	1789011379436768310
3	1	coldburst	0.4359	2522.17	1789011380177820967
3	2	base_a	0.424	2593.01	1789011380903349337
3	3	base_b	0.4247	2588.87	1789011381574816628
4	1	coldburst	0.4351	2527.09	1789011382311295856
4	2	base_b	0.4236	2595.65	1789011382971471727
4	3	base_a	0.4235	2596.27	1789011383591546335
5	1	base_a	0.4297	2558.5	1789011384402916549
5	2	coldburst	0.4223	2603.6	1789011385017050375
5	3	base_b	0.4255	2583.79	1789011385640414085
6	1	base_b	0.4277	2571.03	1789011386453795740
6	2	base_a	0.4239	2593.75	1789011387052266970
6	3	coldburst	0.4283	2567.28	1789011387784192839
7	1	base_a	0.449	2448.61	1789011388648294666
7	2	base_b	0.4251	2586.67	1789011389306826748
7	3	coldburst	0.4222	2604.52	1789011389967942170
8	1	base_b	0.4422	2486.31	1789011390786041811
8	2	coldburst	0.4238	2594.42	1789011391404267363
8	3	base_a	0.4223	2603.74	1789011392170118297
9	1	coldburst	0.4226	2601.59	1789011392937622164
9	2	base_a	0.4235	2596.02	1789011393529873062
9	3	base_b	0.4313	2549.57	1789011394204386708
10	1	coldburst	0.4245	2589.93	1789011395076276122
10	2	base_b	0.4364	2519.73	1789011395751675428
10	3	base_a	0.422	2605.56	1789011396362298861
11	1	base_a	0.4264	2578.88	1789011397142042122
11	2	coldburst	0.4222	2604.07	1789011397791226213
11	3	base_b	0.4302	2556.01	1789011398437393753
12	1	base_b	0.4296	2559.39	1789011399394734504
12	2	base_a	0.4257	2582.98	1789011400070513781
12	3	coldburst	0.4226	2601.83	1789011400879166704
13	1	base_a	0.4261	2580.43	1789011401600926083
13	2	base_b	0.4335	2536.51	1789011402321288193
13	3	coldburst	0.4262	2580.09	1789011403011027859
14	1	base_b	0.4241	2592.8	1789011403831423168
14	2	coldburst	0.4229	2600.23	1789011404437415346
14	3	base_a	0.4247	2588.79	1789011405071973389
15	1	coldburst	0.4315	2547.88	1789011405925162635
15	2	base_a	0.4263	2578.98	1789011406559378464
15	3	base_b	0.4278	2570.29	1789011407270794787
16	1	coldburst	0.4227	2601.31	1789011408048100476
16	2	base_b	0.4276	2571.63	1789011408629946737
16	3	base_a	0.4384	2507.78	1789011409327688071
17	1	base_a	0.4302	2556.05	1789011410066422145
17	2	coldburst	0.4222	2604.34	1789011410736458547
17	3	base_b	0.4251	2586.56	1789011411361677633
18	1	base_b	0.4266	2577.48	1789011412203211542
18	2	base_a	0.4254	2584.44	1789011412810805265
18	3	coldburst	0.4211	2610.81	1789011413446465674
19	1	base_a	0.436	2522.01	1789011414152996840
19	2	base_b	0.424	2593.16	1789011414723719102
19	3	coldburst	0.4348	2528.99	1789011415445473363
20	1	base_b	0.4389	2505.28	1789011416202683349
20	2	coldburst	0.438	2510.17	1789011416871673579
20	3	base_a	0.4404	2496.41	1789011417536126223
21	1	coldburst	0.4227	2601.1	1789011418308327035
21	2	base_a	0.425	2586.98	1789011419026306296
21	3	base_b	0.4293	2561.4	1789011420006852822
22	1	coldburst	0.4262	2579.95	1789011420826360489
22	2	base_b	0.4236	2595.73	1789011421507253627
22	3	base_a	0.4273	2573.2	1789011422096691960
23	1	base_a	0.4243	2591.07	1789011422819577691
23	2	coldburst	0.437	2515.94	1789011423404102584
23	3	base_b	0.425	2587.01	1789011424044954180
24	1	base_b	0.4432	2481.01	1789011424926851796
24	2	base_a	0.4245	2590.08	1789011425532690893
24	3	coldburst	0.4227	2601.3	1789011426179537524
