round	position	tag	ms	tflops	timestamp_ns
1	1	base_a	0.4245	2590.36	1789011505200283325
1	2	coldburst	0.4279	2569.32	1789011505998011018
1	3	base_b	0.4304	2554.68	1789011506594201784
2	1	coldburst	0.425	2587.37	1789011507347514676
2	2	base_b	0.4457	2466.95	1789011508036460249
2	3	base_a	0.4259	2581.39	1789011508608456885
3	1	base_b	0.445	2470.95	1789011509569740768
3	2	base_a	0.4238	2594.34	1789011510190369510
3	3	coldburst	0.4227	2601.19	1789011510949205317
4	1	base_b	0.425	2587.17	1789011511757536457
4	2	coldburst	0.4226	2601.96	1789011512382437294
4	3	base_a	0.4331	2538.8	1789011513173343141
5	1	base_a	0.4274	2572.67	1789011514034618322
5	2	base_b	0.4367	2517.78	1789011514892543191
5	3	coldburst	0.4221	2604.96	1789011515532199982
6	1	coldburst	0.436	2521.93	1789011516319653443
6	2	base_a	0.4309	2551.41	1789011517006478882
6	3	base_b	0.4244	2590.46	1789011517673040063
7	1	base_a	0.4265	2577.84	1789011518414239020
7	2	coldburst	0.4225	2602.19	1789011519092464652
7	3	base_b	0.4269	2575.29	1789011519902143014
8	1	coldburst	0.4231	2598.6	1789011520774828934
8	2	base_b	0.4247	2588.84	1789011521424027948
8	3	base_a	0.4234	2597.12	1789011522118923638
9	1	base_b	0.4251	2586.36	1789011522884810376
9	2	base_a	0.4258	2582.52	1789011523560620690
9	3	coldburst	0.4179	2631.25	1789011524262251425
10	1	base_b	0.4248	2588.13	1789011525073264002
10	2	coldburst	0.4224	2603.15	1789011525746296343
10	3	base_a	0.4218	2606.8	1789011526419061493
11	1	base_a	0.4339	2534.26	1789011527196468875
11	2	base_b	0.4586	2397.76	1789011528045166545
11	3	coldburst	0.4227	2601.39	1789011528755187913
12	1	coldburst	0.4227	2601.23	1789011529572339741
12	2	base_a	0.4247	2588.91	1789011530193335093
12	3	base_b	0.432	2544.91	1789011530888668550
13	1	base_a	0.4233	2597.66	1789011531980237441
13	2	coldburst	0.4231	2598.66	1789011532757863462
13	3	base_b	0.4275	2572.08	1789011533445101900
14	1	coldburst	0.4287	2564.7	1789011534587135149
14	2	base_b	0.4305	2553.96	1789011535260641973
14	3	base_a	0.4308	2552.16	1789011535929957241
15	1	base_b	0.4254	2584.38	1789011536893544814
15	2	base_a	0.428	2568.76	1789011537622300742
15	3	coldburst	0.4388	2505.7	1789011538299291529
16	1	base_b	0.4337	2535.07	1789011539071277898
16	2	coldburst	0.4234	2596.94	1789011539748147133
16	3	base_a	0.4285	2565.71	1789011540394241924
17	1	base_a	0.4332	2537.84	1789011541217275176
17	2	base_b	0.4265	2578.12	1789011541934727275
17	3	coldburst	0.4352	2526.52	1789011542571685343
18	1	coldburst	0.429	2562.76	1789011543398928037
18	2	base_a	0.4213	2609.67	1789011544169517989
18	3	base_b	0.4271	2574.62	1789011544907439554
19	1	base_a	0.4247	2588.98	1789011545722599179
19	2	coldburst	0.4234	2596.97	1789011546430643519
19	3	base_b	0.4234	2597.08	1789011547085783946
20	1	coldburst	0.4283	2567.11	1789011547989467725
20	2	base_b	0.4367	2517.55	1789011548748433517
20	3	base_a	0.4246	2589.34	1789011549541139878
21	1	base_b	0.4248	2588.34	1789011550355471901
21	2	base_a	0.4248	2588.04	1789011551006289796
21	3	coldburst	0.4225	2602.38	1789011551678175685
22	1	base_b	0.4249	2587.46	1789011552484333811
22	2	coldburst	0.4369	2516.4	1789011553149084323
22	3	base_a	0.4371	2515.75	1789011553886442090
23	1	base_a	0.4259	2581.7	1789011554652521808
23	2	base_b	0.426	2580.95	1789011555382996377
23	3	coldburst	0.4291	2562.31	1789011556030604522
24	1	coldburst	0.4233	2597.74	1789011557009848691
24	2	base_a	0.4243	2591.45	1789011557688594364
24	3	base_b	0.4232	2598.23	1789011558312126085
