round	position	tag	ms	tflops	timestamp_ns
1	1	base_a	0.466	2359.66	1789011177789477726
1	2	base_b	0.4247	2589.12	1789011178528847466
1	3	qhalf	0.4329	2539.72	1789011179280585753
1	4	coldburst	0.422	2605.51	1789011179955633441
2	1	base_b	0.4241	2592.47	1789011180738967715
2	2	qhalf	0.4373	2514.45	1789011181481272363
2	3	coldburst	0.422	2605.58	1789011182141786502
2	4	base_a	0.4388	2505.78	1789011182715227327
3	1	qhalf	0.4242	2592.02	1789011183431856530
3	2	coldburst	0.4219	2606.36	1789011184067456088
3	3	base_a	0.4304	2554.8	1789011184763637148
3	4	base_b	0.4254	2584.9	1789011185461381096
