round	position	tag	ms	tflops	timestamp_ns
1	1	base_a	0.4237	2595.33	1789008662513039606
1	2	base_b	0.4246	2589.65	1789008663132215515
1	3	postrelease	0.4229	2599.97	1789008663766641520
2	1	base_b	0.424	2593.03	1789008664570735625
2	2	postrelease	0.4248	2588.51	1789008665229416260
2	3	base_a	0.4252	2586.07	1789008665903714753
3	1	postrelease	0.426	2580.89	1789008666670956486
3	2	base_a	0.4254	2584.89	1789008667297186360
3	3	base_b	0.4255	2584.09	1789008667946143070
4	1	postrelease	0.4227	2601.24	1789008668639263764
4	2	base_b	0.424	2593.1	1789008669307942176
4	3	base_a	0.4274	2572.31	1789008669920466915
5	1	base_a	0.4241	2592.32	1789008670642187345
5	2	postrelease	0.4238	2594.14	1789008671238257990
5	3	base_b	0.4272	2574.01	1789008671794038920
6	1	base_b	0.4256	2583.62	1789008672509570235
6	2	base_a	0.4272	2573.57	1789008673134979957
6	3	postrelease	0.4272	2573.9	1789008673783038918
7	1	base_a	0.4259	2581.39	1789008674552858233
7	2	base_b	0.4259	2581.7	1789008675191952259
7	3	postrelease	0.4248	2588.08	1789008675821985786
8	1	base_b	0.427	2575.08	1789008676598794990
8	2	postrelease	0.4233	2597.23	1789008677174618133
8	3	base_a	0.4244	2590.96	1789008677774476968
9	1	postrelease	0.4273	2573.23	1789008678481050518
9	2	base_a	0.4261	2580.33	1789008679040330594
9	3	base_b	0.427	2574.86	1789008679689478240
10	1	postrelease	0.4228	2600.35	1789008680392353255
10	2	base_b	0.4234	2596.74	1789008680992677860
10	3	base_a	0.4248	2588.23	1789008681643644719
11	1	base_a	0.4273	2573.03	1789008682422474507
11	2	postrelease	0.4231	2598.5	1789008683011714482
11	3	base_b	0.4262	2579.66	1789008683605861348
12	1	base_b	0.4289	2563.64	1789008684328591105
12	2	base_a	0.4249	2587.75	1789008684890500520
12	3	postrelease	0.4246	2589.61	1789008685459519483
13	1	base_a	0.4312	2550.04	1789008686181815418
13	2	base_b	0.4274	2572.54	1789008686839674489
13	3	postrelease	0.4235	2596.4	1789008687506787179
14	1	base_b	0.4258	2582.43	1789008688296801637
14	2	postrelease	0.4239	2593.75	1789008688927803508
14	3	base_a	0.4258	2582.13	1789008689522825949
15	1	postrelease	0.423	2599.6	1789008690295554203
15	2	base_a	0.4271	2574.45	1789008690904783202
15	3	base_b	0.4254	2584.38	1789008691549752543
