round	position	tag	ms	tflops	timestamp_ns
1	1	base_a	0.4278	2570.31	1789010112171866125
1	2	postrelease	0.4228	2600.64	1789010112842646534
1	3	base_b	0.4245	2590.2	1789010113458489027
2	1	postrelease	0.4226	2601.88	1789010114227632426
2	2	base_b	0.4235	2596.47	1789010114893651674
2	3	base_a	0.4292	2562.06	1789010115465220227
3	1	base_b	0.4285	2565.87	1789010116178999059
3	2	base_a	0.4245	2590.02	1789010116768917543
3	3	postrelease	0.4231	2598.88	1789010117368839814
4	1	base_b	0.4251	2586.25	1789010118119849156
4	2	postrelease	0.423	2599.41	1789010118787205582
4	3	base_a	0.4264	2578.54	1789010119379735479
5	1	base_a	0.4256	2583.28	1789010120153880661
5	2	base_b	0.4234	2596.78	1789010120744623874
5	3	postrelease	0.4232	2598.39	1789010121333011640
6	1	postrelease	0.4228	2600.52	1789010122091854598
6	2	base_a	0.4268	2576.39	1789010122688765886
6	3	base_b	0.4258	2582.2	1789010123351484245
7	1	base_a	0.4259	2581.78	1789010124067616242
7	2	postrelease	0.4231	2598.55	1789010124658590623
7	3	base_b	0.4261	2580.32	1789010125323042736
8	1	postrelease	0.4233	2597.77	1789010126043370866
8	2	base_b	0.4253	2585.19	1789010126660971469
8	3	base_a	0.4249	2587.4	1789010127320768530
9	1	base_b	0.4276	2571.46	1789010128089585059
9	2	base_a	0.4252	2585.57	1789010128742777431
9	3	postrelease	0.4335	2536.33	1789010129398744540
10	1	base_b	0.424	2593.15	1789010130107859958
10	2	postrelease	0.4272	2573.63	1789010130752597430
10	3	base_a	0.4255	2583.98	1789010131355583142
11	1	base_a	0.4272	2573.93	1789010132128708372
11	2	base_b	0.4264	2578.64	1789010132723236811
11	3	postrelease	0.4277	2570.83	1789010133406654150
12	1	postrelease	0.4287	2564.72	1789010134090764450
12	2	base_a	0.4286	2565.5	1789010134696471089
12	3	base_b	0.4238	2594.36	1789010135339001686
13	1	base_a	0.4251	2586.21	1789010136107689722
13	2	postrelease	0.4242	2591.85	1789010136740927872
13	3	base_b	0.4254	2584.45	1789010137336767240
14	1	postrelease	0.4251	2586.46	1789010138109644207
14	2	base_b	0.4296	2559.67	1789010138702990771
14	3	base_a	0.4286	2565.51	1789010139354323339
15	1	base_b	0.4264	2578.86	1789010140050491650
15	2	base_a	0.4304	2554.37	1789010140637770651
15	3	postrelease	0.4304	2554.88	1789010141287410286
16	1	base_b	0.4264	2578.54	1789010142006649470
16	2	postrelease	0.4255	2584.18	1789010142610248632
16	3	base_a	0.4269	2575.71	1789010143197076625
17	1	base_a	0.4245	2590.36	1789010143900344750
17	2	base_b	0.4264	2578.74	1789010144497707446
17	3	postrelease	0.427	2575.0	1789010145113638592
18	1	postrelease	0.4287	2564.89	1789010145860020303
18	2	base_a	0.4309	2551.77	1789010146509637495
18	3	base_b	0.4243	2591.07	1789010147102753993
19	1	base_a	0.4273	2573.28	1789010147878064766
19	2	postrelease	0.4231	2598.41	1789010148465941283
19	3	base_b	0.4254	2584.59	1789010149137253110
20	1	postrelease	0.4242	2591.84	1789010149918714662
20	2	base_b	0.4238	2594.51	1789010150468879717
20	3	base_a	0.4264	2578.76	1789010151058699663
21	1	base_b	0.4304	2554.75	1789010151776573226
21	2	base_a	0.4249	2587.81	1789010152438861540
21	3	postrelease	0.4245	2590.0	1789010153028811852
22	1	base_b	0.4238	2594.46	1789010153841151782
22	2	postrelease	0.4252	2586.15	1789010154678875940
22	3	base_a	0.4318	2546.61	1789010155280523642
23	1	base_a	0.4251	2586.59	1789010156049528543
23	2	base_b	0.4259	2581.38	1789010156640682664
23	3	postrelease	0.4238	2594.56	1789010157220462550
24	1	postrelease	0.4239	2594.08	1789010157975692161
24	2	base_a	0.4255	2583.8	1789010158641111057
24	3	base_b	0.4241	2592.86	1789010159306136792
