round	position	tag	ms	tflops	timestamp_ns
1	1	base_a	0.4249	2587.82	1789010015647140164
1	2	base_b	0.4228	2600.83	1789010016321580520
1	3	postrelease	0.4224	2602.87	1789010016994419560
2	1	base_b	0.4239	2593.9	1789010017801796076
2	2	postrelease	0.4233	2597.53	1789010018443750949
2	3	base_a	0.4269	2575.86	1789010019055983429
3	1	postrelease	0.4225	2602.23	1789010019801734994
3	2	base_a	0.4244	2590.62	1789010020452050525
3	3	base_b	0.422	2605.51	1789010021083338887
4	1	postrelease	0.4228	2600.42	1789010021814579386
4	2	base_b	0.4241	2592.34	1789010022436791285
4	3	base_a	0.4257	2582.79	1789010023066319854
5	1	base_a	0.4236	2595.87	1789010023800969825
5	2	postrelease	0.4303	2554.95	1789010024401955732
5	3	base_b	0.4265	2577.94	1789010025031944472
6	1	base_b	0.4267	2576.96	1789010025787911411
6	2	base_a	0.425	2587.23	1789010026473464779
6	3	postrelease	0.4232	2598.27	1789010027070912642
7	1	base_a	0.4316	2547.42	1789010027808191311
7	2	base_b	0.4281	2568.56	1789010028422410295
7	3	postrelease	0.4238	2594.44	1789010029097174798
8	1	base_b	0.4238	2594.43	1789010029831359359
8	2	postrelease	0.4301	2556.49	1789010030500564732
8	3	base_a	0.4249	2587.51	1789010031110466712
9	1	postrelease	0.4298	2558.46	1789010031865428401
9	2	base_a	0.426	2580.76	1789010032552011325
9	3	base_b	0.4262	2579.77	1789010033154915173
10	1	postrelease	0.4242	2592.04	1789010033904945275
10	2	base_b	0.4243	2591.4	1789010034517458467
10	3	base_a	0.4251	2586.43	1789010035199582143
11	1	base_a	0.4257	2583.12	1789010035983154635
11	2	postrelease	0.4332	2537.86	1789010036590376309
11	3	base_b	0.4277	2570.48	1789010037148482401
12	1	base_b	0.4269	2575.38	1789010037882812061
12	2	base_a	0.4272	2573.84	1789010038500758473
12	3	postrelease	0.4313	2549.4	1789010039163852517
13	1	base_a	0.4283	2567.4	1789010039882220462
13	2	base_b	0.4272	2573.53	1789010040461534449
13	3	postrelease	0.4315	2548.27	1789010041026552092
14	1	base_b	0.4286	2565.44	1789010041738512884
14	2	postrelease	0.4238	2594.16	1789010042335474828
14	3	base_a	0.4306	2553.58	1789010043018717024
15	1	postrelease	0.424	2593.1	1789010043796919871
15	2	base_a	0.426	2580.98	1789010044406668600
15	3	base_b	0.4263	2579.25	1789010044965640103
16	1	postrelease	0.4278	2569.88	1789010045681030546
16	2	base_b	0.4255	2583.86	1789010046275809270
16	3	base_a	0.4258	2582.46	1789010046923936093
17	1	base_a	0.4272	2573.73	1789010047703591692
17	2	postrelease	0.4228	2600.64	1789010048313115995
17	3	base_b	0.4238	2594.36	1789010048899859831
18	1	base_b	0.4246	2589.51	1789010049625332137
18	2	base_a	0.4233	2597.76	1789010050332151055
18	3	postrelease	0.4233	2597.55	1789010051181946874
19	1	base_a	0.4276	2571.31	1789010052118121804
19	2	base_b	0.4279	2569.62	1789010052776345944
19	3	postrelease	0.4239	2593.68	1789010053365756245
20	1	base_b	0.428	2568.97	1789010054137979450
20	2	postrelease	0.4299	2557.48	1789010054794335073
20	3	base_a	0.4263	2579.2	1789010055439270212
21	1	postrelease	0.4232	2597.89	1789010056165407928
21	2	base_a	0.4245	2590.31	1789010056748531396
21	3	base_b	0.424	2593.42	1789010057349285125
22	1	postrelease	0.4264	2578.6	1789010058122015793
22	2	base_b	0.4251	2586.24	1789010058778384125
22	3	base_a	0.4244	2590.46	1789010059364395711
23	1	base_a	0.4253	2585.06	1789010060130257772
23	2	postrelease	0.4235	2596.23	1789010060744447322
23	3	base_b	0.4236	2595.51	1789010061393411563
24	1	base_b	0.4252	2586.0	1789010062117505218
24	2	base_a	0.4272	2573.76	1789010062668466369
24	3	postrelease	0.4253	2585.44	1789010063314782322
