round	position	tag	ms	tflops	timestamp_ns
1	1	base_a	0.4237	2594.8	1789007775491580977
1	2	base_b	0.4244	2590.9	1789007776137250550
1	3	qhalf	0.4248	2588.61	1789007776732551348
1	4	postrelease	0.4221	2604.62	1789007777383212057
2	1	base_b	0.4262	2579.51	1789007778172921247
2	2	qhalf	0.4249	2587.87	1789007778771919880
2	3	postrelease	0.4249	2587.79	1789007779337526698
2	4	base_a	0.4243	2591.55	1789007779996531640
3	1	qhalf	0.4245	2590.17	1789007780734087906
3	2	postrelease	0.4228	2600.65	1789007781338033379
3	3	base_a	0.4266	2577.44	1789007781929659929
3	4	base_b	0.4256	2583.18	1789007782623840144
