round	position	tag	ms
1	1	ref	0.4055
1	2	zero_first	0.4024
1	3	zero_first	0.4090
1	4	ref	0.4027
2	1	zero_first	0.4091
2	2	ref	0.4058
2	3	ref	0.4031
2	4	zero_first	0.4089
3	1	ref	0.4052
3	2	zero_first	0.4112
3	3	zero_first	0.4030
3	4	ref	0.4059
4	1	zero_first	0.4063
4	2	ref	0.4066
4	3	ref	0.4052
4	4	zero_first	0.4006
5	1	ref	0.4056
5	2	zero_first	0.4012
5	3	zero_first	0.3953
5	4	ref	0.4059
6	1	zero_first	0.4032
6	2	ref	0.4037
6	3	ref	0.4128
6	4	zero_first	0.4067
7	1	ref	0.4057
7	2	zero_first	0.4129
7	3	zero_first	0.4042
7	4	ref	0.4028
8	1	zero_first	0.4078
8	2	ref	0.4108
8	3	ref	0.4014
8	4	zero_first	0.4058
9	1	ref	0.4026
9	2	zero_first	0.4014
9	3	zero_first	0.4053
9	4	ref	0.4042
10	1	zero_first	0.3998
10	2	ref	0.4023
10	3	ref	0.4015
10	4	zero_first	0.4020
11	1	ref	0.4052
11	2	zero_first	0.4035
11	3	zero_first	0.4042
11	4	ref	0.4046
12	1	zero_first	0.3980
12	2	ref	0.4052
12	3	ref	0.4149
12	4	zero_first	0.4032
